round,bot1,bot2,score1,score2,apple1,apple2,time
0,1,2,1,0,11,7,31.585
1,1,2,1,0,5,7,25.98
2,1,2,0,1,11,16,48.623
3,1,2,1,0,6,3,20.768
4,1,2,1,0,23,11,64.78
5,1,2,1,0,5,4,16.553
6,1,2,1,0,6,8,28.061
7,1,2,0,1,26,11,59.358
8,1,2,1,0,13,16,61.323
9,1,2,0,1,0,0,3.679
10,1,2,1,0,4,8,26.664
11,1,2,1,0,11,1,22.99
12,1,2,1,0,10,12,43.635
13,1,2,1,0,10,7,28.068
14,1,2,1,0,14,9,49.303
15,1,2,1,0,4,2,15.14
16,1,2,1,0,10,11,48.181
17,1,2,1,0,8,4,26.395
18,1,2,1,0,5,3,17.546
19,1,2,1,0,16,11,61.874
20,1,2,1,0,4,7,15.59
21,1,2,1,0,6,4,12.354
22,1,2,0,0,3,3,11.294
23,1,2,1,0,13,5,31.877
24,1,2,1,0,8,5,18.793
25,1,2,0,1,2,4,11.897
26,1,2,1,0,21,16,73.229
27,1,2,1,0,3,2,12.109
28,1,2,1,0,11,8,31.463
29,1,2,1,0,23,13,76.886
30,1,2,1,0,12,11,37.975
31,1,2,0,1,27,15,86.6
32,1,2,0,1,4,1,9.096
33,1,2,1,0,17,7,48.078
34,1,2,0,1,5,6,18.363
35,1,2,1,0,16,13,44.571
36,1,2,0,0,1,1,3.249
37,1,2,0,1,5,6,14.78
38,1,2,1,0,5,6,22.649
39,1,2,1,0,10,4,23.25
40,1,2,1,0,25,13,91.101
41,1,2,1,0,6,4,19.598
42,1,2,0,1,3,1,6.445
43,1,2,0,1,1,1,8.479
44,1,2,1,0,11,14,47.624
45,1,2,0,1,2,1,4.871
46,1,2,1,0,5,0,13.714
47,1,2,0,1,6,3,17.149
48,1,2,1,0,10,3,25.462
49,1,2,0,0,1,1,3.253
50,1,2,1,0,7,3,25.254
51,1,2,1,0,13,5,27.443
52,1,2,0,1,2,0,3.651
53,1,2,0,0,3,3,14.159
54,1,2,0,0,1,1,3.268
55,1,2,1,0,7,4,31.855
56,1,2,0,1,3,4,9.706
57,1,2,1,0,11,3,17.539
58,1,2,1,0,9,5,20.553
59,1,2,0,1,2,3,8.064
60,1,2,0,0,3,3,14.128
61,1,2,0,1,1,0,3.657
62,1,2,1,0,15,14,56.636
63,1,2,0,1,4,5,21.019
64,1,2,0,1,4,1,13.761
65,1,2,1,0,11,10,27.055
66,1,2,0,1,1,0,5.671
67,1,2,1,0,10,6,34.518
68,1,2,0,1,9,7,25.666
69,1,2,1,0,11,2,25.997
70,1,2,1,0,6,11,31.548
71,1,2,0,1,5,4,14.326
72,1,2,1,0,13,20,55.012
73,1,2,1,0,6,5,24.216
74,1,2,1,0,7,1,17.159
75,1,2,1,0,11,6,36.298
76,1,2,0,0,7,7,26.834
77,1,2,1,0,11,7,42.542
78,1,2,0,1,8,4,23.608
79,1,2,0,1,15,10,57.113
80,1,2,1,0,3,5,15.765
81,1,2,1,0,15,9,47.797
82,1,2,0,0,1,1,2.842
83,1,2,1,0,5,6,21.19
84,1,2,1,0,8,7,30.095
85,1,2,0,1,8,3,20.789
86,1,2,0,1,5,7,25.175
87,1,2,1,0,16,13,56.199
88,1,2,1,0,7,5,23.811
89,1,2,1,0,9,11,35.315
90,1,2,1,0,14,7,38.795
91,1,2,0,1,1,1,5.274
92,1,2,0,1,5,0,8.296
93,1,2,1,0,4,2,16.57
94,1,2,0,1,4,5,17.788
95,1,2,0,1,4,1,7.907
96,1,2,1,0,5,4,13.494
97,1,2,0,1,3,5,19.421
98,1,2,1,0,6,6,20.352
99,1,2,0,0,2,2,3.647
100,1,2,0,1,4,6,21.591
101,1,2,0,1,2,3,10.097
102,1,2,1,0,13,5,33.265
103,1,2,0,1,5,2,13.109
104,1,2,1,0,15,8,51.479
105,1,2,0,1,8,12,32.448
106,1,2,1,0,14,3,34.172
107,1,2,0,1,12,4,30.887
108,1,2,1,0,11,8,36.546
109,1,2,1,0,12,9,41.085
110,1,2,1,0,9,6,27.206
111,1,2,1,0,16,12,54.886
112,1,2,1,0,16,6,35.909
113,1,2,1,0,6,4,29.242
114,1,2,0,1,8,9,33.311
115,1,2,1,0,3,4,13.304
116,1,2,1,0,7,4,22.456
117,1,2,0,1,25,14,77.034
118,1,2,1,0,8,10,29.379
119,1,2,1,0,13,8,49.61
120,1,2,1,0,15,10,50.808
121,1,2,1,0,10,5,26.801
122,1,2,1,0,5,4,19.748
123,1,2,0,1,7,8,28.734
124,1,2,1,0,5,8,27.392
125,1,2,1,0,7,7,31.667
126,1,2,0,0,2,2,5.085
127,1,2,0,1,6,7,20.761
128,1,2,1,0,7,11,37.092
129,1,2,1,0,18,14,61.303
130,1,2,1,0,7,5,23.02
131,1,2,1,0,15,4,31.658
132,1,2,1,0,6,2,11.927
133,1,2,1,0,13,4,24.015
134,1,2,0,1,2,3,18.554
135,1,2,0,1,4,1,7.87
136,1,2,1,0,23,12,63.442
137,1,2,1,0,4,3,10.285
138,1,2,0,1,4,10,20.164
139,1,2,1,0,13,10,46.063
140,1,2,0,1,2,2,9.924
141,1,2,1,0,5,3,10.71
142,1,2,0,0,4,4,10.901
143,1,2,1,0,14,12,42.996
144,1,2,1,0,24,13,72.69
145,1,2,1,0,3,1,9.865
146,1,2,1,0,10,7,28.861
147,1,2,0,1,13,7,48.998
148,1,2,1,0,7,3,18.95
149,1,2,1,0,6,4,24.865
150,1,2,1,0,9,5,19.594
151,1,2,0,1,17,9,36.843
152,1,2,1,0,12,7,40.141
153,1,2,0,1,2,0,3.65
154,1,2,1,0,7,7,26.651
155,1,2,1,0,13,10,44.567
156,1,2,0,1,17,17,66.959
157,1,2,1,0,20,11,65.276
158,1,2,1,0,5,2,10.079
159,1,2,0,0,3,3,17.33
160,1,2,1,0,21,10,66.718
161,1,2,1,0,6,1,10.705
162,1,2,1,0,13,11,38.193
163,1,2,0,1,5,0,6.512
164,1,2,0,0,1,1,2.84
165,1,2,1,0,6,4,22.175
166,1,2,1,0,12,5,33.669
167,1,2,0,1,0,0,3.674
168,1,2,1,0,3,1,9.488
169,1,2,1,0,14,19,67.396
170,1,2,0,1,19,12,64.447
171,1,2,1,0,11,5,36.672
172,1,2,0,1,18,15,64.282
173,1,2,1,0,5,4,9.471
174,1,2,0,1,4,7,22.795
175,1,2,0,1,19,13,69.485
176,1,2,0,1,3,1,10.701
177,1,2,0,1,11,6,35.528
178,1,2,1,0,14,11,38.3
179,1,2,1,0,11,8,31.204
180,1,2,1,0,11,7,28.834
181,1,2,1,0,7,5,25.01
182,1,2,1,0,16,8,35.288
183,1,2,0,1,4,1,5.263
184,1,2,1,0,15,7,41.972
185,1,2,1,0,7,8,32.446
186,1,2,1,0,10,4,28.644
187,1,2,1,0,5,0,13.32
188,1,2,0,1,10,7,33.882
189,1,2,1,0,5,3,16.211
190,1,2,1,0,19,17,61.495
191,1,2,1,0,8,1,26.4
192,1,2,0,1,2,9,17.771
193,1,2,1,0,4,2,7.476
194,1,2,1,0,8,2,12.31
195,1,2,1,0,5,3,17.385
196,1,2,1,0,13,13,44.139
197,1,2,1,0,14,15,43.423
198,1,2,1,0,21,10,60.89
199,1,2,1,0,8,6,29.66
200,1,2,0,0,16,16,75.021
201,1,2,0,1,0,4,13.938
202,1,2,1,0,5,4,10.289
203,1,2,1,0,8,5,16.308
204,1,2,0,0,1,1,2.839
205,1,2,1,0,7,1,21.782
206,1,2,1,0,3,1,9.092
