round,bot1,bot2,score1,score2,apple1,apple2,time
0,1,2,0,1,12,14,60.406
1,1,2,0,1,4,3,18.421
2,1,2,1,0,9,15,40.011
3,1,2,0,1,5,6,29.249
4,1,2,0,0,1,1,4.257
5,1,2,0,1,5,14,31.304
6,1,2,0,1,5,4,16.181
7,1,2,0,1,7,13,37.751
8,1,2,0,1,6,17,45.87
9,1,2,0,1,4,13,38.956
10,1,2,0,1,3,8,22.387
11,1,2,0,1,2,2,7.883
12,1,2,0,1,7,5,23.217
13,1,2,1,0,2,4,11.52
14,1,2,1,0,7,9,21.617
15,1,2,0,1,6,12,42.619
16,1,2,1,0,3,1,6.49
17,1,2,0,1,6,8,31.437
18,1,2,0,1,17,14,64.155
19,1,2,0,1,6,11,38.775
20,1,2,0,1,4,6,29.701
21,1,2,0,1,4,4,21.923
22,1,2,0,1,1,6,20.692
23,1,2,0,1,10,10,32.828
24,1,2,0,1,3,7,17.293
25,1,2,0,1,8,17,43.702
26,1,2,0,1,8,9,35.187
27,1,2,0,1,9,13,46.632
28,1,2,0,1,2,5,13.807
29,1,2,0,1,10,17,53.591
30,1,2,0,1,6,5,25.434
31,1,2,1,0,5,9,20.533
32,1,2,0,1,12,16,52.61
33,1,2,0,1,6,12,31.402
34,1,2,1,0,7,7,29.681
35,1,2,0,1,4,5,16.444
36,1,2,0,1,6,13,39.275
37,1,2,0,1,5,6,28.496
38,1,2,0,1,11,10,38.911
39,1,2,0,1,5,9,25.476
40,1,2,0,1,4,5,17.619
41,1,2,0,1,11,9,33.009
42,1,2,0,1,4,9,24.745
43,1,2,0,1,8,7,26.486
44,1,2,0,1,10,15,61.041
45,1,2,0,1,7,10,33.776
46,1,2,0,1,3,8,24.472
47,1,2,0,1,10,10,42.965
48,1,2,0,1,3,10,24.138
49,1,2,0,1,7,13,35.789
50,1,2,0,1,9,5,32.71
51,1,2,0,1,14,22,69.775
52,1,2,0,1,0,2,6.395
53,1,2,1,0,9,7,40.989
54,1,2,0,1,12,8,50.751
55,1,2,0,1,6,11,42.046
56,1,2,0,1,4,7,31.755
57,1,2,0,1,14,22,106.604
58,1,2,0,1,5,14,43.776
59,1,2,0,1,6,12,48.859
60,1,2,0,1,8,10,34.679
61,1,2,1,0,3,5,13.278
62,1,2,0,1,14,9,37.386
63,1,2,1,0,10,8,36.764
64,1,2,0,1,2,4,19.819
65,1,2,0,1,3,4,13.887
66,1,2,0,1,3,9,26.683
67,1,2,0,1,9,14,51.649
68,1,2,1,0,7,21,54.171
69,1,2,0,1,5,6,20.213
70,1,2,0,1,7,7,22.392
71,1,2,0,1,2,10,24.102
72,1,2,0,1,9,17,53.032
73,1,2,0,1,0,4,9.06
74,1,2,1,0,5,10,31.743
75,1,2,0,1,4,10,25.167
76,1,2,1,0,3,6,13.896
77,1,2,0,1,7,13,39.724
78,1,2,0,1,9,9,30.441
79,1,2,0,1,7,9,24.649
80,1,2,1,0,2,4,10.894
81,1,2,0,1,5,2,19.812
82,1,2,0,1,3,2,7.556
83,1,2,0,1,14,12,52.79
84,1,2,0,1,5,9,30.416
85,1,2,0,1,3,6,18.372
86,1,2,0,1,3,5,25.538
87,1,2,0,1,1,5,10.312
88,1,2,1,0,11,14,41.528
89,1,2,0,1,10,9,29.908
90,1,2,0,1,1,4,16.724
91,1,2,0,1,8,19,61.534
92,1,2,0,1,10,20,62.105
93,1,2,0,1,10,12,64.707
94,1,2,0,1,7,8,46.471
95,1,2,0,1,13,22,84.589
96,1,2,0,1,9,8,41.673
97,1,2,1,0,7,7,20.77
98,1,2,1,0,8,11,26.544
99,1,2,1,0,18,17,64.449
100,1,2,0,1,8,23,63.082
101,1,2,0,1,4,3,12.572
102,1,2,0,1,2,1,5.861
103,1,2,0,1,4,8,25.037
104,1,2,0,1,2,4,14.657
105,1,2,0,1,11,13,61.573
106,1,2,1,0,14,10,40.726
107,1,2,0,1,8,8,38.352
108,1,2,0,1,7,12,45.802
109,1,2,1,0,14,11,43.411
110,1,2,0,1,4,15,41.804
111,1,2,0,1,9,16,59.952
112,1,2,0,1,13,14,38.504
113,1,2,0,1,1,9,23.223
114,1,2,0,1,1,5,12.024
115,1,2,0,1,5,9,29.41
116,1,2,0,1,9,12,47.047
117,1,2,0,1,3,5,19.404
118,1,2,0,1,3,5,22.633
119,1,2,0,1,11,12,48.316
120,1,2,0,1,6,11,31.489
121,1,2,0,1,16,13,51.45
122,1,2,1,0,2,8,16.016
123,1,2,0,1,12,18,69.562
124,1,2,0,1,12,18,53.603
125,1,2,0,1,3,2,14.58
126,1,2,0,1,5,7,24.946
127,1,2,0,1,11,9,39.925
128,1,2,0,1,2,1,5.517
129,1,2,0,1,8,11,34.728
130,1,2,1,0,8,8,37.963
131,1,2,0,1,8,10,29.711
132,1,2,0,1,5,3,14.202
133,1,2,0,1,7,18,59.263
134,1,2,0,1,15,15,77.11
135,1,2,0,1,3,7,16.233
136,1,2,0,1,4,7,29.137
137,1,2,0,1,4,2,15.467
138,1,2,0,1,9,8,42.875
139,1,2,0,1,1,4,12.654
140,1,2,0,1,3,8,22.775
141,1,2,1,0,1,3,10.673
142,1,2,0,1,4,5,26.609
143,1,2,0,1,6,10,35.259
144,1,2,0,1,2,5,20.194
145,1,2,0,1,0,7,9.971
146,1,2,0,1,2,5,10.938
147,1,2,1,0,8,12,38.582
148,1,2,1,0,11,15,48.31
149,1,2,1,0,10,9,35.454
150,1,2,0,1,6,6,22.559
151,1,2,0,1,3,3,10.156
152,1,2,0,1,11,13,40.982
153,1,2,0,1,5,11,30.991
154,1,2,0,1,8,19,58.615
155,1,2,1,0,7,27,71.212
156,1,2,0,1,7,7,34.193
157,1,2,0,1,5,9,26.859
158,1,2,0,1,0,5,11.782
159,1,2,0,1,15,22,80.281
160,1,2,0,1,16,14,54.082
161,1,2,0,1,14,19,67.575
162,1,2,1,0,6,7,28.165
163,1,2,1,0,0,2,4.066
164,1,2,1,0,6,7,22.254
165,1,2,0,1,3,4,14.756
166,1,2,1,0,17,15,53.51
167,1,2,1,0,14,3,39.459
168,1,2,0,1,2,4,18.521
169,1,2,1,0,5,5,27.498
170,1,2,1,0,1,0,3.172
171,1,2,0,1,5,4,27.975
172,1,2,0,1,4,10,19.82
173,1,2,0,1,3,5,16.691
174,1,2,0,1,8,22,68.845
175,1,2,1,0,7,16,47.962
176,1,2,0,1,3,6,17.09
177,1,2,0,1,11,15,41.536
178,1,2,0,1,2,4,20.472
179,1,2,0,1,9,16,59.818
180,1,2,0,1,10,5,27.42
181,1,2,0,1,4,8,19.611
182,1,2,0,1,8,6,27.637
183,1,2,1,0,7,6,25.097
184,1,2,0,1,18,18,75.949
185,1,2,0,1,10,11,51.608
186,1,2,0,1,9,10,37.297
187,1,2,0,1,5,13,31.609
188,1,2,0,1,3,15,33.719
189,1,2,0,1,11,14,50.318
190,1,2,0,1,7,20,45.747
191,1,2,0,1,8,11,35.503
192,1,2,0,1,5,9,24.644
193,1,2,0,1,14,21,67.998
194,1,2,1,0,1,5,11.276
195,1,2,1,0,9,8,37.517
196,1,2,0,1,7,16,39.933
197,1,2,0,1,5,6,20.077
198,1,2,0,1,12,12,35.88
199,1,2,0,1,2,2,10.599
200,1,2,0,1,9,10,39.402
201,1,2,0,1,1,2,7.213
202,1,2,0,1,5,10,24.24
203,1,2,0,1,3,14,40.79
204,1,2,1,0,10,17,58.877
205,1,2,1,0,10,5,18.563
206,1,2,0,1,9,11,44.694
207,1,2,0,1,3,6,19.5
208,1,2,1,0,9,7,26.864
209,1,2,0,1,11,4,31.381
210,1,2,0,1,3,4,10.699
211,1,2,0,1,14,8,35.731
212,1,2,1,0,13,17,62.882
213,1,2,0,1,2,4,11.768
214,1,2,0,1,6,3,14.076
215,1,2,0,1,5,10,33.861
216,1,2,0,1,10,14,45.105
217,1,2,1,0,16,11,58.601
218,1,2,1,0,8,5,23.704
219,1,2,1,0,4,0,7.574
220,1,2,1,0,1,0,3.376
221,1,2,0,1,7,17,54.778
222,1,2,0,1,16,13,61.031
223,1,2,0,1,11,7,39.821
224,1,2,0,1,3,5,15.386
225,1,2,0,1,6,8,31.944
226,1,2,0,1,11,11,42.187
227,1,2,1,0,13,6,52.116
228,1,2,0,1,18,16,71.669
229,1,2,0,1,20,23,85.915
230,1,2,0,1,2,7,21.239
231,1,2,0,1,10,13,43.535
232,1,2,0,1,18,12,54.168
233,1,2,0,1,14,15,58.444
234,1,2,0,1,18,27,102.467
235,1,2,0,1,7,10,45.693
236,1,2,1,0,14,16,59.838
237,1,2,0,1,7,8,28.022
238,1,2,0,1,0,5,20.415
239,1,2,0,1,8,12,39.787
240,1,2,0,1,4,6,21.156
241,1,2,0,1,17,22,81.084
242,1,2,0,1,12,12,41.858
243,1,2,0,1,1,7,16.418
244,1,2,0,1,15,19,68.428
245,1,2,1,0,12,20,56.215
246,1,2,0,1,5,15,51.489
247,1,2,1,0,5,11,38.902
248,1,2,1,0,4,4,17.138
249,1,2,0,1,11,11,54.988
250,1,2,1,0,9,13,50.43
251,1,2,0,1,6,9,36.816
252,1,2,0,1,8,9,32.107
253,1,2,1,0,7,12,33.225
254,1,2,0,1,17,17,66.067
255,1,2,0,1,6,12,42.686
256,1,2,0,1,6,15,46.011
257,1,2,0,1,6,9,22.66
258,1,2,0,1,8,12,46.377
259,1,2,0,1,12,19,59.273
260,1,2,0,1,10,6,33.579
261,1,2,0,1,14,11,45.831
262,1,2,0,1,8,9,37.432
263,1,2,0,1,3,7,16.609
264,1,2,1,0,3,5,19.83
265,1,2,0,1,7,13,48.027
266,1,2,1,0,4,5,18.069
267,1,2,0,1,5,8,37.119
268,1,2,0,1,3,4,13.482
269,1,2,0,1,7,12,45.585
270,1,2,1,0,9,7,31.563
271,1,2,0,1,18,18,77.377
272,1,2,0,1,5,1,11.906
273,1,2,0,1,2,7,29.805
274,1,2,0,1,7,7,26.774
275,1,2,0,1,7,10,31.506
276,1,2,0,1,14,10,40.106
277,1,2,0,1,3,8,31.047
278,1,2,1,0,13,21,69.18
279,1,2,0,1,15,20,71.094
280,1,2,0,1,5,13,39.724
281,1,2,0,1,8,8,41.594
282,1,2,0,1,19,17,77.109
283,1,2,0,1,14,17,64.026
284,1,2,0,1,10,15,49.729
285,1,2,0,1,13,16,55.526
286,1,2,0,1,2,2,6.384
287,1,2,0,1,0,9,23.024
288,1,2,1,0,5,10,25.921
289,1,2,0,1,6,9,35.791
290,1,2,0,1,9,11,34.886
291,1,2,0,1,6,8,29.994
292,1,2,0,1,16,17,68.977
293,1,2,0,1,6,5,19.999
294,1,2,0,1,1,6,10.716
295,1,2,0,1,4,13,32.857
296,1,2,0,1,8,11,55.687
297,1,2,0,0,1,1,3.298
298,1,2,0,1,5,12,41.714
299,1,2,0,1,7,16,38.649
300,1,2,0,1,1,6,12.87
301,1,2,0,1,3,5,17.138
302,1,2,1,0,5,3,10.253
303,1,2,1,0,6,6,21.063
304,1,2,0,1,10,14,45.884
305,1,2,0,1,4,13,25.41
306,1,2,0,1,6,9,41.142
307,1,2,0,1,8,13,44.058
308,1,2,0,1,4,6,32.755
309,1,2,1,0,8,5,23.238
310,1,2,0,1,5,7,28.529
311,1,2,0,1,12,13,43.739
312,1,2,0,1,6,8,39.294
313,1,2,0,1,6,8,27.503
314,1,2,0,1,12,17,59.349
315,1,2,0,1,3,9,18.399
316,1,2,1,0,14,11,44.597
317,1,2,0,1,8,5,24.987
318,1,2,0,1,3,8,22.46
319,1,2,0,1,18,26,74.857
320,1,2,0,1,13,11,46.434
321,1,2,0,1,3,6,16.107
322,1,2,0,1,8,8,31.396
323,1,2,0,1,13,11,49.67
324,1,2,0,1,11,17,55.336
325,1,2,0,1,2,4,21.981
326,1,2,0,1,10,10,36.505
327,1,2,1,0,6,15,38.764
328,1,2,0,1,13,13,42.093
329,1,2,0,1,11,17,83.386
330,1,2,1,0,4,5,11.88
331,1,2,0,1,8,10,31.281
332,1,2,0,1,1,6,16.805
333,1,2,1,0,9,9,44.399
334,1,2,0,1,13,16,56.556
335,1,2,0,1,1,2,7.755
336,1,2,0,1,5,6,22.571
337,1,2,0,1,12,13,48.196
338,1,2,0,1,10,3,25.316
339,1,2,0,1,6,7,31.615
340,1,2,1,0,11,8,34.51
341,1,2,1,0,4,5,18.114
342,1,2,0,1,4,8,18.756
343,1,2,1,0,5,3,11.58
344,1,2,0,1,4,2,28.011
345,1,2,0,1,2,2,11.002
346,1,2,0,0,7,7,30.802
347,1,2,0,1,4,5,19.173
348,1,2,1,0,11,9,41.399
349,1,2,0,1,2,10,19.369
350,1,2,1,0,10,9,48.53
351,1,2,1,0,6,5,21.355
352,1,2,0,1,3,2,15.774
353,1,2,0,1,6,8,36.049
354,1,2,0,1,7,7,22.17
355,1,2,0,1,5,9,25.748
356,1,2,0,1,10,10,28.806
357,1,2,1,0,1,0,3.102
358,1,2,0,1,12,14,47.221
359,1,2,0,1,14,12,52.467
360,1,2,0,1,15,28,107.047
361,1,2,0,1,10,13,46.899
362,1,2,0,1,11,25,80.616
363,1,2,0,1,18,20,84.449
364,1,2,0,1,16,20,81.314
365,1,2,1,0,7,13,52.055
366,1,2,0,1,8,7,28.284
367,1,2,0,1,8,13,39.566
368,1,2,1,0,9,11,41.976
369,1,2,0,1,12,10,40.813
370,1,2,0,1,7,8,30.448
371,1,2,0,1,11,20,59.608
372,1,2,0,1,7,11,24.812
373,1,2,0,1,3,4,16.574
374,1,2,1,0,3,7,25.658
375,1,2,0,1,14,21,75.294
376,1,2,0,1,0,1,3.68
377,1,2,0,1,12,16,55.063
378,1,2,0,1,5,7,26.868
379,1,2,0,1,6,4,21.992
380,1,2,1,0,3,6,21.187
381,1,2,0,1,5,5,15.137
382,1,2,0,1,0,3,10.973
383,1,2,0,1,5,3,25.648
384,1,2,0,1,4,5,18.979
385,1,2,0,1,5,2,9.913
386,1,2,1,0,6,2,15.539
387,1,2,1,0,6,7,29.711
388,1,2,0,1,14,12,44.221
389,1,2,0,1,0,5,18.994
390,1,2,0,1,4,12,35.959
391,1,2,0,1,10,6,23.233
392,1,2,1,0,2,5,9.495
393,1,2,0,1,14,16,55.964
394,1,2,0,1,8,17,49.898
395,1,2,0,1,19,11,53.44
396,1,2,0,1,10,9,23.226
397,1,2,0,1,9,17,65.207
398,1,2,1,0,9,12,48.188
399,1,2,0,1,18,19,65.76
400,1,2,0,1,8,15,46.632
401,1,2,0,1,6,5,24.045
402,1,2,0,1,5,15,39.394
403,1,2,1,0,6,14,39.555
404,1,2,1,0,15,7,38.347
405,1,2,0,1,4,1,8.728
406,1,2,0,1,6,7,27.599
407,1,2,0,1,10,17,46.534
408,1,2,0,1,5,17,59.6
409,1,2,0,1,8,11,48.263
410,1,2,0,1,4,9,30.913
411,1,2,0,1,2,5,9.125
412,1,2,0,1,2,5,22.985
413,1,2,1,0,0,2,5.667
414,1,2,0,1,2,7,18.613
415,1,2,0,1,13,17,59.159
416,1,2,1,0,3,-1,7.903
417,1,2,0,1,9,10,29.716
418,1,2,0,1,10,20,69.007
419,1,2,0,1,13,13,53.286
420,1,2,1,0,5,5,19.379
421,1,2,0,1,8,6,23.653
422,1,2,0,1,9,11,38.298
423,1,2,0,1,1,6,25.691
424,1,2,0,1,10,17,54.1
425,1,2,0,1,8,18,49.651
426,1,2,0,1,2,3,8.723
427,1,2,1,0,6,6,29.452
428,1,2,0,1,2,8,16.395
429,1,2,0,1,11,13,49.194
430,1,2,0,1,4,10,26.685
431,1,2,0,1,13,15,59.895
432,1,2,0,1,5,3,14.738
433,1,2,0,1,2,4,10.528
434,1,2,0,1,4,3,11.567
435,1,2,0,1,6,6,22.243
